Age,Gender,Batch,CAdept,Hdept,Country1,C1hotel1,C1hotel2,Country2,C2hotel1,C2hotel2,stay,future_career,list1,list2,list3,list4
19.0,Female,2023,Pâtisserie,Housekeeping,india,Taj,Hyatt,uk,Adams,Hilton,Maybe,Entrpreneur,Taj (india),Adams (uk),Hyatt (india),Hilton (uk)
18.0,Male,2023,Pâtisserie,Food and Beverages,mauritius,Hilton,The Oberoi ,new zealand,JW marriot,Ritz Carlton ,Maybe,Entrpreneur,Hilton (mauritius),JW marriot (new zealand),The Oberoi  (mauritius),Ritz Carlton  (new zealand)
19.0,Female,2023,Hot Kitchen,Front Office,mauritius,Hilton resorts,,mumbai,Grand hyatt ,Taj,Maybe,Entrpreneur,Hilton resorts (mauritius),Grand hyatt  (mumbai),,Taj (mumbai)
19.0,Female,2023,Bakery,Food and Beverages,france,Sofitel Marseille Vieux Port,JW Cannes,france,"The Negresco, Nice ","Hotel Martinez, Cannes",No,Entrpreneur,Sofitel Marseille Vieux Port (france),"The Negresco, Nice  (france)",JW Cannes (france),"Hotel Martinez, Cannes (france)"
20.0,Male,2023,Bakery,Sales and Marketing,india,St regis,Oberoi,india,Jw marriot,The ritz ,No,Executive Chef,St regis (india),Jw marriot (india),Oberoi (india),The ritz  (india)
19.0,Female,2023,Hot Kitchen,Housekeeping,dubai,"Atlantis The Palm,(Dubai)","Palazzo Versace,(Dubai)",mauritius,"JW Marriot,( Mauritius)","Hilton Hotels,( Mauritius)",Yes,Entrpreneur,"Atlantis The Palm,(Dubai) (dubai)","JW Marriot,( Mauritius) (mauritius)","Palazzo Versace,(Dubai) (dubai)","Hilton Hotels,( Mauritius) (mauritius)"
,Male,2023,Hot Kitchen,Food and Beverages,uae,"Burj al Arab, Dubai","Hyatt Creek Heights, Dubai",india,"Hyatt Regency, Kerala","Crown Plaza, Kerala",Maybe,Entrpreneur,"Burj al Arab, Dubai (uae)","Hyatt Regency, Kerala (india)","Hyatt Creek Heights, Dubai (uae)","Crown Plaza, Kerala (india)"
18.0,Male,2023,Pâtisserie,Food and Beverages,mauritius,Hilton,Oberoi,india,St. Regis Goa,JW marriot,Maybe,Entrpreneur,Hilton (mauritius),St. Regis Goa (india),Oberoi (mauritius),JW marriot (india)
20.0,Female,2023,Hot Kitchen,Human Resources,india,Hyatt Delhi ,Oberoi Dekhi ,none,None ,None ,Maybe,Entrpreneur,Hyatt Delhi  (india),None  (none),Oberoi Dekhi  (india),None  (none)
19.0,Male,2023,Pâtisserie,Front Office,france,any chateau,any chateau ,thailand,any 5 star property ,Any 5 star property,Maybe,Entrpreneur,any chateau (france),any 5 star property  (thailand),any chateau  (france),Any 5 star property (thailand)
19.0,Female,2023,Hot Kitchen,Sales and Marketing,mauritius,Hilton resorts,,mumbai,Grand hyatt,Taj,Maybe,Entrpreneur,Hilton resorts (mauritius),Grand hyatt (mumbai),,Taj (mumbai)
21.0,Male,2023,Hot Kitchen,Front Office,uae,Burj Al Arab,Armani Hotel,uae,One&Only One Za’abeel,Mandarin Oriental,No,Entrpreneur,Burj Al Arab (uae),One&Only One Za’abeel (uae),Armani Hotel (uae),Mandarin Oriental (uae)
20.0,Male,2023,Hot Kitchen,Food and Beverages,new zealand,Na,Na,na,Na,Na,Yes,Executive Chef,Na (new zealand),Na (na),Na (new zealand),Na (na)
19.0,Female,2023,Pâtisserie,Food and Beverages,mauritius,Hilton ,JW marriott mauritius ,india,JW marriott juhu ,JW marriott navi mumbai ,Maybe,Entrpreneur,Hilton  (mauritius),JW marriott juhu  (india),JW marriott mauritius  (mauritius),JW marriott navi mumbai  (india)
19.0,Female,2023,Service,Food and Beverages,india,St Regis Mumbai,,,,,Maybe,Executive Chef,St Regis Mumbai (india),,,
21.0,Male,2023,Bakery,Front Office,mauritius,The Oberoi,Na,na,Na,Na,Maybe,Entrpreneur,The Oberoi (mauritius),Na (na),Na (mauritius),Na (na)
24.0,Male,2023,Bakery,Human Resources,uae,Pullman ,Bulgari,usa,Kempinski al othman,Movenpick,Maybe,Entrpreneur,Pullman  (uae),Kempinski al othman (usa),Bulgari (uae),Movenpick (usa)
19.0,Male,2023,Hot Kitchen,Food and Beverages,mauritius,The oberoi beach resort Mauritius ,Mauritius ,india,The Ritz Carlton pune ,Conrad pune,No,Entrpreneur,The oberoi beach resort Mauritius  (mauritius),The Ritz Carlton pune  (india),Mauritius  (mauritius),Conrad pune (india)
